Height Genre Hours Work Smoker Commute How Sport Internet TV Year
1.83 M 40 N N 30 X 2 80 5 2021
175 M 10 N N 10 A 2 200 30 2021
159 M 14 N N 5 O 2 240 0 2021
163 F 15 N N 4 B 6 160 60 2021
179 M 11 N N 70 A 6 180 12 2021
1.81 M 17 N N 65 X 2 160 0 2021
165 F 14 N N 40 A 4 120 60 2021
163 F 16 N N 20 A 4 150 60 2021
170 F 30 N N 30 A 0 120 15 2021
177 M NA N N 30 K 1 NA NA 2021
172 M 3 N N 40 X 3 200 0 2021
161 F 4 N N 15 O 3 300 30 2021
193 M 6 N N 30 X 5 300 0 2021
180 M 11 N N 40 A 0 240 0 2021
190 M 17 N N 20 A 6 300 0 2021
170 F 10 N N 10 O 4 300 15 2021
173 M 15 N N 30 A 2 300 0 2021
178 M 18 N N 20 B 2 250 0 2021
170 F 20 N N 75 X 3 300 0 2021
170 F 15 N N 30 A 5 250 15 2021
175 M 10 N N 30 X 5 240 30 2021
193 M 3 N N 30 A 3 300 30 2021
170 M 10 N N 45 X 4 200 0 2021
170 M 5 N N 13 O 3 240 0 2021
176 M 2 N N 2 O 1 300 0 2020
160 F 4 N N 5 O 2 240 30 2020
170 F 3 N N 90 A 1 120 120 2020
166 F 7 N Y 33 A 1 180 0 2020
185 M 2 N Y 30 X 4 120 0 2020
169 M 1 N Y 2 O 1 180 0 2020
185 M 1 N N 15 X 1 300 0 2020
158 F 5 Y N 75 A 0 240 15 2020
178 M 3 N N 80 A 0 200 30 2020
192 M 2 Y N 60 A 5 180 0 2020
184 M 3 Y N 30 A 2 180 15 2020
180 M 3 N N 45 A 3 200 30 2020
183 M 3 N N 15 B 2 240 0 2020
171 M 1 N N 45 O 0 600 0 2020
185 M 2 N N 45 A 0 360 90 2020
172 M 2 N N 10 O 0 180 0 2019
185 M 2 Y N 30 A 0 180 0 2019
171 M 4 Y N 30 A 3 NA 0 2019
170 M 5 N Y 60 T 4 90 0 2019
185 M 3 N N 30 O 2 180 0 2019
175 M 2 N N 20 A 2 180 0 2019
180 M 3 N N 15 A 2 200 30 2019
178 M 6 N N 45 B 3 300 0 2019
181 M 5 N N 20 O 3 180 30 2019
172 M 5 N N 15 A 4 300 0 2019
174 M 6 N N 30 A 0 360 0 2019
163 F 3 N N 35 X 2 180 0 2019
182 M 5 N N 60 A 6 240 0 2019
182 M 5 N N 30 A 3 180 15 2019
172 M 2 N N 40 A 4 120 NA 2019
182 M 4 N N 40 A 0 300 0 2019
160 F 4 N N 45 A 1 200 30 2019
171 F 5 N N 15 X 1 180 60 2019
190 M 4 Y N 15 X 5 300 0 2019
171 M 2 N N 60 A 2 200 30 2019
165 F 5 Y N 35 A 1 240 50 2019
182 M 4 N N 70 A 0 240 0 2019
182 M 2 N N 40 A 2 360 30 2019
194 M 6 N N 40 X 2 240 40 2019
183 M 2 Y N 50 A 3 180 0 2019
169 M 2 Y N 60 X 0 300 0 2019
183 M 3 N N 30 A 2 360 0 2019
172 M 3 N N 45 X 3 180 30 2019
171 M 2 N N 60 A 0 300 0 2019
178 M 4 N N 35 A 4 180 30 2019
183 M 3 N N 70 X 3 360 10 2019
172 M 3 N N 60 X 4 120 120 2019
170 F 4 Y N 70 X 2 360 0 2019
175 M 3 N N 50 A 4 120 0 2019
163 F 3 N N 40 A 3 180 0 2019
187 M 2 N N 70 A 3 120 0 2019
188 M 2 N N 40 A 2 300 0 2019
181 M 2 N N 10 B 2 200 20 2019
182 M 5 N N 20 A 4 250 0 2019
170 M 3 N N 30 B 3 300 15 2019
174 M 2 N N 20 X 4 600 120 2019
180 M 2 N N 45 X 4 180 0 2019
183 M 3 Y N 5 O 3 180 0 2019
189 M 5 Y N 20 X 6 420 0 2018
175 M 5 N N 15 A 7 200 0 2018
188 M 4 N N 15 A 2 180 60 2018
182 F 5 Y N 20 B 5 240 NA 2018
186 M 6 N N 35 O 0 400 0 2018
182 M 5 N N 45 A 1 240 90 2018
185 M 4 N N 30 A 3 300 70 2018
175 M 5 Y N 25 A 5 420 0 2018
171 M 5 Y N 75 A 3 350 0 2018
183 M 4 N N 60 A 5 250 60 2018
184 M 6 N N 30 A 0 500 10 2018
185 M 6 N N 35 A 3 300 200 2018
180 M 5 N N 20 B 0 300 0 2018
177 M 6 N N 30 A 1 300 30 2018
176 M 3 Y N 40 X 0 420 0 2018
181 M 4 Y N 15 A 4 300 0 2018
170 M 2 Y Y 20 B 0 120 0 2018
179 M 3 Y N 35 X 6 180 0 2018
180 M 4 N N 60 A 0 300 0 2018
170 F 4 Y N 45 X 4 180 30 2018
170 M 4 Y N 10 X 5 180 0 2018
165 M 5 N N 15 A 3 300 30 2018
175 M 5 N N 40 A 1 240 0 2018
168 M 5 N N 35 X 5 400 30 2018
177 M 4 N Y 50 B 6 500 30 2018
164 F 5 Y N 20 B 1 300 15 2018
176 M 6 N N 45 X 0 240 0 2018
185 M 3 N N 20 O 2 240 0 2018
196 M 4 Y N 3 O 5 120 0 2017
167 F 4 Y N 3 O 3 121 120 2017
167 F 4 N N 3 O 2 100 0 2017
183 M 3 N N 3 O 3 150 0 2017
168 M 4 N N 3 A 3 300 0 2017
194 M 4 N N 30 A 5 60 90 2017
183 M 3 N N 45 A 1 300 15 2017
190 M 3 N N 45 X 0 240 60 2017
167 F 2 Y N 10 O 2 120 60 2017
167 F 3 N N 35 X 0 150 80 2017
184 M 4 N N 35 A 0 300 60 2017
179 M 5 N N 45 A 2 120 120 2017
162 F 4 N N 45 A 5 300 20 2017
185 M 4 N N 20 X 4 80 30 2017
190 M 4 N N 15 X 0 300 0 2017
175 M 4 N N 25 A 1 150 0 2017
162 F 3 N N 40 X 2 120 30 2017
179 M 2 Y Y 30 B 7 180 0 2017
169 F 4 Y N 15 X 5 450 180 2017
157 F 4 Y N 5 X 5 500 30 2017
178 M 8 N N 20 A 7 600 40 2017
187 M 4 N N 45 A 6 250 30 2017
163 F 5 N N 45 X 3 120 0 2017
173 M 2 N N 20 X NA 60 30 2016
178 M 3 N N 17.5 X 3 60 20 2016
175 M 3 N N 15 X NA 300 60 2016
189 M NA N N 30 A NA 200 0 2016
174 M 3 N N 30 A 3.5 250 0 2016
177 M NA Y N 25 X 6 90 45 2016
174 M 3 N N 60 A 3 90 15 2016
175 M 3 Y N 60 A NA 90 60 2016
183 M 2 N N 15 A 0 300 0 2016
179 M 3 N N 37.5 X 2.5 210 0 2016
192 M NA N N 40 A NA 90 30 2016
174 M NA Y N 45 X NA 120 120 2016
182 M 4 N N 25 X 2 120 60 2016
170 M 2 N N 22.5 X 0 320 150 2016
180 M 3 N N 5 O 3 120 10 2016
186 M 3 N N 30 A 5.5 150 30 2016
180 M 3 Y Y 25 A 2.5 120 90 2016
174 M 3 N N 50 A 0 180 30 2016
185 M 3 N N 20 X 3 240 0 2016
173 M NA N Y 60 A NA 120 60 2016
170 M 4 N N 20 B 0 200 60 2016
167 F 2 Y N 30 A NA 150 45 2016
176 M 4 N N 20 A 1 150 25 2016
175 M 3 N N 10 O 0 300 0 2016
177 M 3 N NA 45 X 1.5 260 40 2016
172 F 3 N N 20 B 2 225 30 2016
164 F 2 N N 15 B 3.5 150 60 2016
186 M NA Y N 15 O NA NA NA 2015
189 M 3 N N 15 O 3 240 60 2015
172 M 2 Y N 20 X NA NA NA 2015
163 F 1.5 N N 5 O NA NA NA 2015
180 M 2.5 N N 10 O 6 250 60 2015
175 M 1 Ez Ez 5 X NA NA NA 2015
173 M 3 N N 25 X 3 180 60 2015
182 M 3 N N 50 A 2 1440 15 2015
168 F 3 N N 35 A 2 120 90 2015
178 M 2 N N 60 A 0 420 30 2015
176 M 4 N N 70 A 2 240 60 2015
180 M 2 N N 50 A 0 300 0 2015
173 M 2 N N 20 A 5 180 60 2015
154 F 2 N N 150 A 6 360 75 2015
183 M 3 N N 30 X 2 480 30 2015
178 M 3 N N 70 A 3 240 90 2015
176 M 3 N N 25 A 5 240 30 2015
181 M 2 N N 10 B NA NA NA 2015
186 M 4 N N 25 X 4 160 35 2015
174 M NA N N 2 O 1 120 90 2015
178 M 2 N N 30 X 2 210 NA 2015
176 M NA Y Y 65 NA NA NA NA 2015
170 M 8 N Y 45 A 3 200 30 2014
177 M 5 Y N 30 A 4 180 30 2014
158 F 6 N N 45 A 2 240 10 2014
184 M 6 Y N 40 A 1 360 5 2014
154 F 10 N N 90 A 0 240 30 2014
172 F 8 N N 35 A 3 60 90 2014
192 M 4 Y N 17 B 2 900 0 2014
167 F 8 Y N 10 O 0 240 30 2014
175 M 7 N N 20 B 3 120 60 2014
183 M 6 N N 15 A 2 180 90 2014
181 M 14 Y N 75 X 5 120 0 2013
168 F NA Y N 60 X 3 60 60 2013
